,gameid,sessionid,playerguid,framenumber,frametime_ms,posX,posY,posZ,viewW,viewX,viewY,viewZ,tickflags,stateflags,fov,health,weapon_id
43,185,4959622521724689016,Beginner,8132,26,62416.703125,11998.9501953125,3121.80908203125,-0.2840655744075775,0.011444227769970894,0.003390849567949772,0.9587305784225464,0,1,90,600,11
44,185,4959622521724689016,Beginner,8138,30,62416.703125,11998.9501953125,3121.80908203125,-0.2948533594608307,0.009710603393614292,0.0029965867288410664,0.9554884433746338,0,1,90,600,11
45,185,4959622521724689016,Beginner,8140,30,62416.703125,11998.9501953125,3121.80908203125,-0.2985679507255554,0.007274225819855928,0.0022757190745323896,0.954357922077179,0,1,90,600,11
46,185,4959622521724689016,Beginner,8140,30,62416.703125,11998.9501953125,3121.80908203125,-0.2985725998878479,0.004941009450703859,0.0015457795234397054,0.9543728828430176,0,1,90,600,11
47,185,4959622521724689016,Beginner,8142,31,62416.703125,11998.9501953125,3121.80908203125,-0.29921695590019226,0.0007775913691148162,0.000243840113398619,0.9541847705841064,0,1,90,600,11
48,185,4959622521724689016,Beginner,8142,31,62416.703125,11998.9501953125,3121.80908203125,0.30932608246803284,0.012854703702032566,0.004181788302958012,-0.9508599638938904,0,1,90,600,11
49,185,4959622521724689016,Beginner,8144,31,62416.703125,11998.9501953125,3121.80908203125,0.3153887391090393,0.019649948924779892,0.006532237399369478,-0.9487366080284119,0,1,90,600,11
50,185,4959622521724689016,Beginner,8144,31,62416.703125,11998.9501953125,3121.80908203125,0.31719207763671875,0.02172805741429329,0.00726936012506485,-0.9480845332145691,0,1,90,600,11
51,185,4959622521724689016,Beginner,8146,34,62416.703125,11998.9501953125,3121.80908203125,0.3256102502346039,0.02900153212249279,0.009992732666432858,-0.9450063705444336,0,1,90,600,11
52,185,4959622521724689016,Beginner,8146,34,62416.703125,11998.9501953125,3121.80908203125,0.3349362909793854,0.03549054265022278,0.012625839561223984,-0.9414874911308289,0,1,90,600,11
53,185,4959622521724689016,Beginner,8179,31,62416.703125,11998.9501953125,3121.80908203125,0.4525935649871826,0.033072054386138916,0.01680036261677742,-0.8909450173377991,0,1,90,600,11
54,185,4959622521724689016,Beginner,8181,30,62416.703125,11998.9501953125,3121.80908203125,0.49954789876937866,0.03200281038880348,0.018471376970410347,-0.8654978275299072,0,1,90,600,11
55,185,4959622521724689016,Beginner,8181,30,62416.703125,11998.9501953125,3121.80908203125,0.5192878246307373,0.031570274382829666,0.019201284274458885,-0.8538001775741577,0,1,90,600,11
56,185,4959622521724689016,Beginner,8183,32,62416.703125,11998.9501953125,3121.80908203125,0.5278563499450684,0.03137538582086563,0.019518116489052773,-0.8485294580459595,0,1,90,600,11
57,185,4959622521724689016,Beginner,8183,32,62416.703125,11998.9501953125,3121.80908203125,0.5316339731216431,0.03128805756568909,0.01965779811143875,-0.846167802810669,0,1,90,600,11
