,playerguid,framenumber,frametime_ms,posX,posY,posZ,health,sessionid,stateflags
175,Lori_Ross,9539,344,-121015.546875,-2649.330078125,2423.142822265625,0,2687592411372870805,2
176,Laura_Davis,9541,62,-121061.8671875,-2546.654296875,2253.6279296875,0,2687592411372870805,2
177,Michelle_Rogers,9552,344,-121220.7109375,-2324.68017578125,2253.628173828125,0,2687592411372870805,4
178,Lori_Ross,9552,344,-121070.703125,-2430.63134765625,2253.628173828125,0,2687592411372870805,0
179,Laura_Davis,9552,344,-121223.484375,-2629.517822265625,2253.6279296875,0,2687592411372870805,4
180,Laura_Davis,9562,313,-121582.5390625,-2985.855224609375,2404.248291015625,0,2687592411372870805,2
181,Lori_Ross,9606,1377,-121802.7734375,-2901.4794921875,2347.65673828125,0,2687592411372870805,2
182,Michelle_Rogers,9622,501,-122468.9921875,-1843.2335205078125,2253.628173828125,0,2687592411372870805,2
183,Lori_Ross,9703,2536,-122024.9609375,-2131.75390625,2404.162353515625,0,2687592411372870805,2
184,Michelle_Rogers,9714,344,-122418.8125,-2090.635009765625,2253.628173828125,0,2687592411372870805,4
185,Lori_Ross,9714,344,-122241.34375,-2073.018310546875,2253.628173828125,0,2687592411372870805,0
186,Lori_Ross,9776,1941,-122205.4375,-2311.841796875,2418.792724609375,0,2687592411372870805,2
187,Laura_Davis,9790,438,-121745.1640625,-2405.08447265625,2253.628173828125,0,2687592411372870805,4
188,Lori_Ross,9790,438,-121998.640625,-2297.01025390625,2253.628173828125,0,2687592411372870805,0
189,Lori_Ross,9858,2129,-121382.15625,-2706.678466796875,2369.930419921875,0,2687592411372870805,2
190,Lori_Ross,9915,1784,-120893.40625,-2963.37158203125,2269.69921875,0,2687592411372870805,2
191,Lori_Ross,9955,1252,-121188.7734375,-3399.920654296875,2253.628173828125,0,2687592411372870805,2
192,Michelle_Rogers,9959,126,-123093.984375,-1993.9329833984375,2273.8408203125,0,2687592411372870805,2
193,Lori_Ross,9996,1157,-121325.453125,-3520.17919921875,2253.628173828125,0,2687592411372870805,2
194,Laura_Davis,10009,407,-121167.4609375,-3595.331298828125,2253.6279296875,0,2687592411372870805,4
195,Lori_Ross,10009,407,-121282.5,-3727.452392578125,2253.628173828125,0,2687592411372870805,0
196,Michelle_Rogers,10011,62,-122662.3359375,-2191.1708984375,2253.628173828125,0,2687592411372870805,2
197,Laura_Davis,10013,62,-121114.9296875,-3533.498046875,2293.58984375,0,2687592411372870805,4
198,Michelle_Rogers,10013,62,-122642.0625,-2190.65869140625,2253.628173828125,0,2687592411372870805,0
199,Michelle_Rogers,10060,1471,-122290.6640625,-2344.852294921875,2253.628173828125,0,2687592411372870805,2
200,Laura_Davis,10062,61,-120887.75,-3322.732666015625,2253.628173828125,0,2687592411372870805,2
201,Lori_Ross,10062,61,-120909.6328125,-3229.37646484375,2425.915283203125,0,2687592411372870805,4
